2018,DAELIM,50,VIVO
2018,DAELIM,100,ALTINO
2018,DAELIM,100,DELFINO
2018,DAELIM,125,ALTINO
2018,DAELIM,125,"Daystar 125"
2018,DAELIM,125,HISTORY
2018,DAELIM,125,MESSAGE
2018,DAELIM,125,NF
2018,DAELIM,125,NS
2018,DAELIM,125,OTELLO
2018,DAELIM,125,ROADWIN
2018,DAELIM,125,ROCKET
2018,DAELIM,125,S2
2018,DAELIM,125,S3
2018,DAELIM,125,SL
2018,DAELIM,125,"U2 FI"
2018,DAELIM,125,VL
2018,DAELIM,125,VS
2018,DAELIM,125,VT
2018,DAELIM,150,ROADWIN
2018,DAELIM,250,ROADWIN
2018,DAELIM,250,S2
2018,DERBI,50,ATLANTIS
2018,DERBI,50,"ATLANTIS CITY"
2018,DERBI,50,DIRT
2018,DERBI,50,EASY
2018,DERBI,50,GP1
2018,DERBI,50,GPR
2018,DERBI,50,HUNTER
2018,DERBI,75,TT8
2018,DERBI,80,GPR
2018,DERBI,125,Mulhacén
2018,DERBI,125,PREDATOR
2018,DERBI,125,Terra
2018,DERBI,150,ATLANTIS
2018,DERBI,180,PREDATOR
2018,DERBI,200,BOULEVARD
2018,DERBI,250,GP1
2018,DERBI,250,RAMBLA
2018,DERBI,250,RC
2018,DERBI,659,Mulhacén
2018,DUCATI,350,F3
2018,DUCATI,350,Indiana
2018,DUCATI,350,S-GTL
2018,DUCATI,350,SUPERSPORT
2018,DUCATI,400,F3
2018,DUCATI,500,"500 GTV"
2018,DUCATI,500,"500 PANTAH"
2018,DUCATI,500,"S 500"
2018,DUCATI,500,SUPERSPORT
2018,DUCATI,502,"502 SINGLE"
2018,DUCATI,502,"502 SUPERMONO"
2018,DUCATI,550,"550 SUPERMONO"
2018,DUCATI,600,"600 SL"
2018,DUCATI,600,"TL PANTAH"
2018,DUCATI,650,"650 DESMO"
2018,DUCATI,650,"650 INDIANA"
2018,DUCATI,750,"750 PASO"
2018,DUCATI,750,SUPERSPORT
2018,DUCATI,800,SCRAMBLER
2018,DUCATI,821,"Monster 821"
2018,DUCATI,906,Paso
2018,DUCATI,950,"Multistrada 950"
2018,DUCATI,992,"Sport Touring"
2018,DUCATI,1000,"1000 all models"
2018,DUCATI,1000,BIPOSTO
2018,DUCATI,1000,"MILLE REPLICA"
2018,DUCATI,1000,"S2 DESMO"
2018,DUCATI,1200,Diavel
2018,DUCATI,1200,Monster
2018,DUCATI,1200,"MONSTER 1200"
2018,DUCATI,1200,MULTISTRADA
2018,DUCATI,1200,"MULTISTRADA 1200"
2018,DUCATI,1260,MULTISTRADA
2018,DUCATI,1299,PANIGALE
